copy_id,source_book,source_offset,source_end_offset,target_book,target_offset,target_end_offset,length,book_delta,same_book,back_distance
190,5,139,151,38,114,126,12,33,False,5326
191,14,0,6,38,128,134,6,24,False,3771
192,2,127,133,39,1,7,6,37,False,5820
193,15,0,52,39,7,59,52,24,False,3651
194,9,179,276,40,0,97,97,31,False,4654
195,28,84,146,40,100,162,62,12,False,1893
196,0,117,123,40,162,168,6,40,False,6289
197,0,123,141,41,0,18,18,41,False,6290
198,2,123,159,41,18,54,36,39,False,6070
199,10,147,212,41,54,119,65,31,False,4614
200,0,78,95,41,119,136,17,41,False,6454
201,0,95,117,42,0,22,22,42,False,6455
202,10,212,267,42,22,77,55,32,False,4654
203,2,111,123,42,77,89,12,40,False,6278
204,2,26,111,42,91,176,85,40,False,6377
205,2,162,171,42,176,185,9,40,False,6326
206,11,11,132,43,0,121,121,32,False,4739
207,0,22,42,43,121,141,20,43,False,6837
208,0,101,107,44,0,6,6,44,False,6779
209,3,1,121,44,6,126,120,41,False,6469
210,17,130,192,45,0,62,62,28,False,4018
211,17,8,16,45,62,70,8,28,False,4202
212,17,191,270,45,70,149,79,28,False,4027
213,45,25,148,46,0,123,123,1,False,125
214,32,6,18,46,123,135,12,14,False,2208
215,5,0,118,46,135,253,118,41,False,6594
216,5,118,244,47,0,126,126,42,False,6595
217,2,67,90,48,0,23,23,46,False,7233
218,28,0,146,48,23,169,146,20,False,3194
219,11,73,80,49,11,18,7,38,False,5658
220,5,171,188,49,25,42,17,44,False,6864
221,11,73,91,49,42,60,18,38,False,5689
222,5,174,182,49,61,69,8,44,False,6897
223,5,170,188,49,69,87,18,44,False,6909
224,11,75,84,49,87,96,9,38,False,5732
225,49,35,43,49,102,110,8,0,True,67
226,9,134,275,50,0,141,141,41,False,6279
227,17,145,155,51,0,10,10,34,False,4962
228,46,0,252,51,10,262,252,5,False,819
229,2,156,162,51,262,268,6,49,False,7834
230,12,78,86,52,0,8,8,40,False,6031
231,3,0,129,52,8,137,129,49,False,7827
232,51,29,264,53,0,235,235,2,False,378
233,5,119,155,53,235,271,36,48,False,7791
234,20,12,63,54,0,51,51,34,False,5275
235,0,30,36,54,51,57,6,54,False,8666
236,15,113,126,55,0,13,13,40,False,6050
237,16,80,134,55,13,67,54,39,False,5952
238,16,89,134,55,67,112,45,39,False,5997
239,13,21,61,56,0,40,40,43,False,6535
240,12,63,99,56,40,76,36,44,False,6671
241,26,23,76,56,76,129,53,30,False,4802
242,13,61,70,56,129,138,9,43,False,6624
243,12,120,132,56,141,153,12,44,False,6715
244,38,41,114,56,153,226,73,18,False,2883
245,12,53,63,56,226,236,10,44,False,6867
246,12,43,51,56,236,244,8,44,False,6887
247,2,5,27,56,244,266,22,54,False,8821
248,31,124,152,57,0,28,28,26,False,4146
249,31,153,194,57,28,69,41,26,False,4145
250,31,62,106,57,97,141,44,26,False,4305
251,31,73,105,57,141,173,32,26,False,4338
252,2,3,14,57,173,184,11,55,False,9019
253,31,106,148,57,184,226,42,26,False,4348
254,17,218,242,58,0,24,24,41,False,6241
255,14,23,29,58,24,30,6,44,False,6913
256,32,3,113,58,30,140,110,26,False,4279
257,35,1,133,58,140,272,132,23,False,3994
258,43,0,141,59,0,141,141,16,False,2853
259,58,0,52,59,141,193,52,1,False,414
260,0,42,121,59,193,272,79,59,False,9742
261,8,132,141,60,1,10,9,52,False,8478
262,17,206,259,60,10,63,53,43,False,6809
263,8,80,132,60,63,115,52,52,False,8592
264,8,141,155,60,115,129,14,52,False,8583
265,45,63,85,60,129,151,22,15,False,2923
266,29,29,138,61,0,109,109,32,False,5473
267,45,67,103,61,109,145,36,16,False,3051
268,3,11,137,62,0,126,126,59,False,9735
269,45,16,63,63,0,47,47,18,False,3266
270,8,0,79,63,47,126,79,55,False,9081
271,8,79,155,64,0,76,76,56,False,9082
272,45,63,138,64,76,151,75,19,False,3422
273,3,45,51,65,0,6,6,62,False,10107
274,61,3,139,65,6,142,136,4,False,555
275,58,0,27,65,142,169,27,7,False,1392
276,10,0,210,66,0,210,210,56,False,9032
277,1,61,92,67,0,31,31,66,False,10743
278,2,0,67,67,31,98,67,65,False,10742
279,17,27,170,68,0,143,143,51,False,8162
280,9,144,284,69,0,140,140,60,False,9637
