candidate,classification,labels_predicted_holdout,diagnostic_hits,bits_below_lookup_after_costs,explains_39_and_19_91,survives_controls,external_source_validated
lookup_baseline,AUDIT_ONLY,0,55,0.0,stores_only,not_applicable,False
priority_layer_stumps,REJECTED_CONTROL,15,15,0.0,no,False,False
fixed_order_inventory_fill,REJECTED_CONTROL,0,8,0.0,no,False,False
ordered_surface_render_layer,PROMOTED_MECHANICAL_CLUE,0,2,0.0,yes_surface_only,True,False
external_fixed_source,BLOCKED_NEEDS_EXTERNAL_SOURCE,0,0,0.0,blocked,False,False
